"Story","Title","Result","Date","Stability","Duration (s)"
"Hago un registro","Registrar y validar registro","PENDING","2021-06-10T21:44:09.629-05:00[America/Bogota]","0.0","39.66"
"Signing un in a commercial page","Sign up and verify Log in","SUCCESS","2021-06-11T12:39:09.288-05:00[America/Bogota]","0.0","37.23"
